obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,1.0,0.4835587436585332,106.11888122558594,6.84141206741333,-0.26136189699172974,0.6836512088775635,113.76222229003906,4.161683559417725,-0.9492833614349365,0.29270362854003906,17.40160369873047,0.0537252239882946,0.9086745381355286,1000.0,76.0,-7888.328125,-7888.328125,188.0366289615631,76.0,38,76000,404.17657144627543,-112.78272247314453,33.49687194824219,1.0644433498382568
0.0,1.0,0.4787484502379107,108.35884857177734,6.374414443969727,-0.2727516293525696,0.6674672365188599,115.72166442871094,3.4236788749694824,0.7081598043441772,0.524101197719574,19.878162384033203,0.03125012293457985,0.9111467003822327,1000.0,78.0,-7991.9150390625,-7991.9150390625,192.90058159828186,78.0,39,78000,404.353368733932,-114.4300765991211,41.727622985839844,0.555334210395813
0.0,1.0,0.47398600813441577,108.0672836303711,6.167804718017578,-0.24617788195610046,0.7028541564941406,116.32955932617188,2.9913382530212402,0.15865319967269897,0.9726875424385071,22.268665313720703,0.03909740597009659,0.9112637042999268,1000.0,80.0,-8027.20703125,-8027.20703125,197.63584733009338,80.0,40,80000,404.78486610975585,-116.11864471435547,29.740995407104492,1.4500701427459717
0.0,1.0,0.46927094133788605,107.89657592773438,6.674315452575684,-0.2242046594619751,0.7121736407279968,116.478271484375,3.610466957092285,-0.3758901357650757,0.7405892610549927,24.554344177246094,0.035480521619319916,0.910467267036438,1000.0,82.0,-7968.17431640625,-7968.17431640625,202.52811479568481,82.0,41,82000,404.88205838840474,-116.48914337158203,54.98261642456055,0.3187258839607239
0.0,1.0,0.46460277857336196,109.59178161621094,7.0305280685424805,-0.21968302130699158,0.7159590125083923,117.71515655517578,3.861353874206543,-0.6981608271598816,0.6614755392074585,26.771175384521484,0.01802370697259903,0.9112187623977661,1000.0,84.0,-7945.08544921875,-7945.08544921875,207.4786775112152,84.0,42,84000,404.86088020037334,-117.47743225097656,42.2108039855957,0.8400726318359375
0.0,1.0,0.45998105325398186,109.92174530029297,7.175699234008789,-0.21539655327796936,0.708636462688446,117.74198913574219,4.986907005310059,-0.0005077719688415527,0.999076783657074,28.88971519470215,0.001325606950558722,0.9126566052436829,1000.0,86.0,-8048.13671875,-8048.13671875,212.5913155078888,86.0,43,86000,404.532046826761,-117.93376159667969,28.382322311401367,1.0512094497680664
0.0,1.0,0.4554053034343468,112.4133071899414,6.517830848693848,-0.22456882894039154,0.7101598978042603,120.57432556152344,3.901416301727295,0.1451585590839386,0.9621349573135376,30.932130813598633,-0.0017386467661708593,0.9122762084007263,1000.0,88.0,-7860.7529296875,-7860.7529296875,217.37760424613953,88.0,44,88000,404.82551229314515,-119.88945007324219,33.10064697265625,0.4695035219192505
0.0,1.0,0.450875071764348,113.23638153076172,5.817856311798096,-0.24463757872581482,0.698388934135437,121.37547302246094,3.933443546295166,-0.8619779348373413,0.3944145739078522,32.93195724487305,-0.006749712396413088,0.9133354425430298,1000.0,90.0,-7844.3681640625,-7844.3681640625,222.31738686561584,90.0,45,90000,404.82663667867905,-121.53801727294922,49.821720123291016,0.5758155584335327
0.0,1.0,0.44638990544345475,114.81388854980469,6.601467609405518,-0.20919755101203918,0.7227613925933838,122.73683166503906,4.227179527282715,-0.07934057712554932,0.9156032204627991,34.88486099243164,-0.02272600494325161,0.9113573431968689,1000.0,92.0,-7862.07177734375,-7862.07177734375,227.11376905441284,92.0,46,92000,405.0833218216649,-123.06283569335938,51.822547912597656,1.040012001991272
0.0,1.0,0.44194935617545694,115.30181884765625,6.568554401397705,-0.21344323456287384,0.715356171131134,123.72925567626953,3.7421772480010986,0.23826411366462708,0.890155017375946,36.76703643798828,-0.02286171168088913,0.9121227264404297,1000.0,94.0,-7796.6669921875,-7796.6669921875,232.13351678848267,94.0,47,94000,404.9393698095381,-123.80984497070312,42.1650505065918,1.261070966720581
0.0,1.0,0.4375529801236566,115.30953979492188,6.354574203491211,-0.22353892028331757,0.7140819430351257,123.85986328125,3.2465248107910156,-0.0554654598236084,0.9390929937362671,38.58076477050781,-0.017560243606567383,0.9120151996612549,1000.0,96.0,-7724.267578125,-7724.267578125,237.07100296020508,96.0,48,96000,404.94197435067434,-123.91630554199219,35.23820495605469,1.0637032985687256
0.0,1.0,0.4332003378665067,116.3876724243164,6.454387664794922,-0.2056046724319458,0.718818724155426,124.5814437866211,3.6221048831939697,-0.9998382329940796,0.0005864890408702195,40.32645797729492,-0.026456696912646294,0.9117753505706787,1000.0,98.0,-7653.19775390625,-7653.19775390625,242.10884189605713,98.0,49,98000,404.7766253909622,-124.43224334716797,39.65283966064453,0.5254296660423279
0.0,1.0,0.4288909943536901,115.37954711914062,5.7741475105285645,-0.21188221871852875,0.7305710911750793,123.2192153930664,3.1512386798858643,-0.46852126717567444,0.5663164854049683,42.017459869384766,-0.04416431486606598,0.9113662242889404,1000.0,100.0,-7701.451171875,-7701.451171875,247.1697223186493,100.0,50,100000,404.5802983549934,-123.4130859375,46.185489654541016,1.1235978603363037
0.0,1.0,0.4246245188626367,111.99930572509766,5.742673873901367,-0.18611478805541992,0.7511118054389954,120.37332153320312,2.985044479370117,-0.3613998293876648,0.6463149189949036,43.59939193725586,-0.05807916074991226,0.9098204374313354,1000.0,102.0,-7720.24755859375,-7764.34765625,252.22559523582458,102.0,51,102000,404.39987823056805,-120.78467559814453,55.173912048339844,1.3598560094833374
0.0,1.0,0.4204004849554715,104.32595825195312,6.658658504486084,-0.13277384638786316,0.8099120855331421,113.20413208007812,2.5485410690307617,-0.3338073492050171,0.4479357898235321,45.03974533081055,-0.06803310662508011,0.9085073471069336,1000.0,104.0,-7697.39892578125,-7658.57958984375,257.28842425346375,104.0,52,104000,404.21562027814355,-114.30188751220703,71.60497283935547,0.40220606327056885
0.0,1.0,0.41621847043639215,96.78112030029297,6.124108791351318,-0.1660991907119751,0.7884788513183594,105.48867797851562,2.3907768726348877,9.694695472717285e-05,0.9998950958251953,46.26610565185547,-0.06868378072977066,0.9064174890518188,1000.0,106.0,-7639.80712890625,-7525.53125,262.1958315372467,106.0,53,106000,404.27797565859464,-105.40682983398438,32.089019775390625,0.47179102897644043
0.0,1.0,0.41207805730947017,91.00838470458984,5.761258125305176,-0.17292135953903198,0.7792220115661621,98.85052490234375,2.072993516921997,-0.8272774815559387,0.5594350099563599,47.30986022949219,-0.07140179723501205,0.9065492749214172,1000.0,108.0,-7684.84814453125,-7455.71728515625,267.0720911026001,108.0,54,108000,404.38519634951314,-99.32844543457031,32.51015853881836,0.45529717206954956
0.0,1.0,0.4079788317368719,88.2526626586914,5.754427433013916,-0.15784460306167603,0.7999754548072815,96.31999206542969,2.0127816200256348,0.14779505133628845,0.9676137566566467,48.22201919555664,-0.06933451443910599,0.9073503613471985,1000.0,110.0,-7749.32080078125,-7575.16259765625,271.8971345424652,110.0,55,110000,404.5647637482552,-96.24939727783203,32.383766174316406,0.5666366219520569
0.0,1.0,0.4039203839974948,87.45842742919922,5.277919292449951,-0.16713851690292358,0.7881839275360107,95.44783020019531,2.172797679901123,-0.0661124587059021,0.8951700925827026,49.061363220214844,-0.06681963056325912,0.9087353348731995,1000.0,112.0,-7626.0712890625,-7495.2470703125,276.85897994041443,112.0,56,112000,404.5380793648255,-95.67491912841797,30.756999969482422,1.1878368854522705
0.0,1.0,0.39990230844601554,88.26719665527344,5.507523536682129,-0.1707596480846405,0.7851381897926331,96.26461791992188,2.2008697986602783,-0.7621860504150391,0.5263733267784119,49.87824249267578,-0.06840083003044128,0.9075942039489746,1000.0,114.0,-7509.4912109375,-7315.1298828125,281.81225848197937,114.0,57,114000,404.5246314481731,-95.97838592529297,32.087196350097656,1.0197992324829102
0.0,1.0,0.3959242034723458,88.97711181640625,5.553992748260498,-0.17086565494537354,0.7881017327308655,97.22596740722656,2.3338372707366943,0.027336448431015015,0.9729567170143127,50.685813903808594,-0.07602718472480774,0.9069593548774719,1000.0,116.0,-7482.04833984375,-7270.41748046875,286.862420797348,116.0,58,116000,404.3750299449205,-97.03340148925781,32.016849517822266,0.7747316956520081
0.0,1.0,0.3919856714614903,90.09396362304688,5.869863033294678,-0.17685812711715698,0.7780701518058777,98.58740234375,2.5255377292633057,0.4666960835456848,0.42139238119125366,51.48914337158203,-0.08066453784704208,0.9061430096626282,1000.0,118.0,-7416.40771484375,-7315.80126953125,291.9429974555969,118.0,59,118000,404.18849237151926,-98.48162078857422,32.86017990112305,1.1863210201263428
0.0,1.0,0.3880863187538058,90.95606994628906,5.753870964050293,-0.17447727918624878,0.7831882238388062,99.2850341796875,2.187241554260254,-0.012883245944976807,0.988082766532898,52.28045654296875,-0.0794917643070221,0.903159499168396,1000.0,120.0,-7306.78564453125,-7069.4501953125,296.9812672138214,120.0,60,120000,404.06588983136794,-99.32453155517578,27.121627807617188,0.49045330286026
0.0,1.0,0.3842257556056534,90.97476959228516,5.60069465637207,-0.18161913752555847,0.7784444689750671,99.26144409179688,2.2328379154205322,-0.8915200233459473,0.12047883123159409,53.058494567871094,-0.08603295683860779,0.9035810232162476,1000.0,122.0,-7284.9326171875,-7024.2255859375,301.9149293899536,122.0,61,122000,404.0873376037151,-99.489501953125,33.759010314941406,0.373627632856369
0.0,1.0,0.38040359615044433,90.32810974121094,6.143156051635742,-0.1677829623222351,0.7886618971824646,98.92205810546875,2.049226999282837,-1.6093254089355469e-06,0.9999983906745911,53.814735412597656,-0.09962651878595352,0.9026320576667786,1000.0,124.0,-7327.8193359375,-7082.791015625,306.911967754364,124.0,62,124000,404.0246488505883,-99.31026458740234,39.44247817993164,1.6133843660354614
0.0,1.0,0.37661945836007127,90.11514282226562,6.1771159172058105,-0.1531582474708557,0.7948294281959534,98.58853912353516,2.155938148498535,-0.8521865606307983,0.4860599935054779,54.52347946166992,-0.09650683403015137,0.90445876121521,1000.0,126.0,-7229.458984375,-6973.0107421875,312.0499243736267,126.0,63,126000,403.7815431390281,-98.87377166748047,33.88465118408203,1.1050050258636475
0.0,1.0,0.3728729640067252,89.93122863769531,5.576987266540527,-0.16244688630104065,0.7907020449638367,98.05023193359375,2.266042947769165,-0.529456615447998,0.5855554342269897,55.2247314453125,-0.10716305673122406,0.9042752385139465,1000.0,128.0,-7309.64404296875,-6986.806640625,317.05305075645447,128.0,64,128000,403.7179257370518,-98.7793197631836,33.50421905517578,0.8259769082069397
0.0,1.0,0.3691637386250908,89.25320434570312,5.922714710235596,-0.1587148904800415,0.7979262471199036,97.5833740234375,2.268310070037842,-0.12483146786689758,0.7726074457168579,55.89607238769531,-0.11059563606977463,0.9028716683387756,1000.0,130.0,-7284.84521484375,-7006.59423828125,322.1538257598877,130.0,65,130000,403.53393194496306,-99.14485168457031,32.877838134765625,0.8742421269416809
0.0,1.0,0.36549141147491804,91.27268981933594,6.189098358154297,-0.16753751039505005,0.7758166790008545,99.97733306884766,2.391430139541626,-0.21136543154716492,0.7921954393386841,56.566036224365234,-0.11565680801868439,0.9019091725349426,1000.0,132.0,-7255.162109375,-6986.97705078125,327.26107597351074,132.0,66,132000,403.3476929920147,-100.71957397460938,32.55420684814453,1.2464141845703125
0.0,1.0,0.3618556155039672,92.90682983398438,6.08804988861084,-0.15224763751029968,0.802483081817627,101.25851440429688,2.3585996627807617,-0.6107513904571533,0.6724496483802795,57.24071502685547,-0.12293541431427002,0.900924801826477,1000.0,134.0,-7224.6259765625,-7050.609375,332.17837285995483,134.0,67,134000,403.39772528325886,-101.41632843017578,36.062171936035156,0.3355835974216461
0.0,1.0,0.35825598731132074,92.44825744628906,5.992006778717041,-0.15553677082061768,0.7848052382469177,100.95980834960938,2.454315662384033,0.006376504898071289,0.9938731789588928,57.900062561035156,-0.1307101547718048,0.9002668857574463,1000.0,136.0,-7286.5009765625,-7231.6669921875,337.11507058143616,136.0,68,136000,403.42307973783323,-101.92736053466797,32.65412139892578,1.0748146772384644
0.0,1.0,0.3546921671110616,92.83407592773438,6.095768928527832,-0.15189191699028015,0.7992762923240662,101.18596649169922,2.1081385612487793,-0.025878965854644775,0.9711043834686279,58.545013427734375,-0.13542094826698303,0.9007461667060852,1000.0,138.0,-7347.0517578125,-7244.916015625,342.15108919143677,138.0,69,138000,403.330588033837,-102.1343002319336,31.35417938232422,0.5353467464447021
0.0,1.0,0.3511637986963123,92.64813232421875,6.7207465171813965,-0.16741925477981567,0.7837296724319458,101.87998962402344,2.034186601638794,-0.03302431106567383,0.9668231010437012,59.158966064453125,-0.1335214078426361,0.9019212126731873,1000.0,140.0,-7230.6982421875,-7039.7275390625,347.0178253650665,140.0,70,140000,403.4374887016783,-101.93895721435547,34.24995422363281,1.138071894645691
0.0,1.0,0.3476705294036317,92.88524627685547,6.315781116485596,-0.17769545316696167,0.7726035714149475,101.69937133789062,2.165029525756836,0.23277635872364044,0.7609178423881531,59.759796142578125,-0.1320304423570633,0.9026006460189819,1000.0,142.0,-7125.345703125,-6787.2392578125,352.08813881874084,142.0,71,142000,403.30810482969235,-102.36963653564453,26.29784393310547,0.4392133057117462
